homeless, 43.141706699094456
game, 39.219733362813145
MIF, 31.375786690250514
fear, 28.132065825385197
fasting, 27.4538133539692
lithium, 27.4538133539692
death, 24.615557597212046
reported, 24.022893310073517
pro-ana, 23.531840017687884
mood, 23.531840017687884
EDT, 23.531840017687884
WM, 19.609866681406572
hippocampal, 19.609866681406572
ECT, 19.609866681406572
extinction, 19.609866681406572
GM, 19.609866681406572
SCC, 19.609866681406572
DBS, 19.609866681406572
HIV-1, 19.609866681406572
addiction, 19.372956934328215
population, 18.034095626442955
apomorphine, 15.687893345125257
SI, 15.687893345125257
IPV, 15.687893345125257
psychotropics, 15.687893345125257
lived, 15.687893345125257
health-based, 15.687893345125257
complement, 15.687893345125257
CMHPs, 15.687893345125257
electronic, 15.687893345125257
CYB5R3, 15.687893345125257
framework, 15.687893345125257
II, 15.687893345125257
biomarker, 15.687893345125257
websites, 15.687893345125257
Demoralization, 15.687893345125257
first-onset, 15.687893345125257
stimulation, 15.028413022035796
design, 14.066032912692599
components, 14.066032912692599
