(evidence,93945.47179415707)
(assembly,91127.10764033237)
(links,48851.64533296168)
(invadopodia,45199.74537547312)
(mouse,37540.21026092182)
(human,30532.278333101047)
(molecular,24425.82266648084)
(direct,24425.82266648084)
(altitude,6078.824645504281)
(rates,5949.879880296615)
(implications,5618.307626905472)
(population,5008.396760098726)
(risk,4780.030599929278)
(characteristics,4559.118484128211)
(azoospermia,4559.118484128211)
(absence,4248.269496574015)
(relationship,3870.645541322991)
(ejaculate,3419.338863096158)
(map,3398.615597259212)
(network,3398.615597259212)
(cohort,3115.397630820944)
(high,3039.4123227521404)
(mestizo,3039.4123227521404)
(Ecuadorian,3039.4123227521404)
(associated,2913.614186468765)
(populations,2820.6667389177064)
(studies,2818.364153824712)
(helpful,2809.153813452736)
(potential,2735.4710904769267)
(all-cause,2611.131495455248)
(lower,2528.2384321074624)
(inhibitors,2362.4523054118913)
(non-obstructive,2279.5592420641055)
(histopathological,2279.5592420641055)
(Idiopathic,2279.5592420641055)
(self-examination,2212.784274367278)
(ten,2210.4816892742842)
(pieces,2210.4816892742842)
(spermatozoa,2072.326583694641)
(tool,1927.2637228360163)
(novel,1837.4629042092486)
(Dissemination,1782.2008619773915)
(carcinoma,1768.3853514194273)
(spermatogenesis,1761.477596140445)
(invadopodia-associated,1743.0569153964927)
(conditions,1713.1233091875702)
(Vietnamese,1611.809565095832)
(prevention,1570.3630334219392)
(brothers,1547.3371824919989)
(PTMC,1545.0345973990047)
